Date,Name,Position,Seniority,Location,Studio,Client Tag,Project Tag,Team Name,Engagement,Email Leader,Month,Day
02Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.04,laura.leon@tec.globant.com,1,2
03Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.99,laura.leon@tec.globant.com,1,3
04Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.97,laura.leon@tec.globant.com,1,4
05Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.75,laura.leon@tec.globant.com,1,5
06Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.15,laura.leon@tec.globant.com,1,6
09Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.47,laura.leon@tec.globant.com,1,9
10Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.2,laura.leon@tec.globant.com,1,10
11Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.7,laura.leon@tec.globant.com,1,11
12Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.31,laura.leon@tec.globant.com,1,12
13Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.04,laura.leon@tec.globant.com,1,13
16Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.44,laura.leon@tec.globant.com,1,16
17Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3.25,laura.leon@tec.globant.com,1,17
18Jan23,Natalia Ramírez,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2.69,laura.leon@tec.globant.com,1,18
